"Pos.","N°","Nombre","Clase","LIGA","CLUB","MOTO","Mejor Tm","Vueltas","En Vuelta","Puntos","Dif. resp. 1°","Dif. resp. anterior","Comentario"
"1","610-E","Jhon Sebastián agredo","Juvenil","Putumayo","CLUB EXTREME RACING","Husqvarna","47.557","15","13","15","","",""
"2","710","Juan David MENDOZA DUARTE","Juvenil","Meta","VILLAVICENCIO RACING CLUB","Yamaha","47.400","15","4","13","2.950","2.950",""
"3","626","Juan Antonio PIEDRAHITA VARELA","Juvenil","Risaralda","CLUB LOS GUEPARDOS","GasGas","49.632","15","2","11","29.735","26.785",""
"4","386","Frank Stiven ZAMBRANO ABELLO","Juvenil","Putumayo","TEAM RACING MOCOA","Husqvarna","49.481","15","6","10","30.601","0.866",""
"5","420","Esteban ARCILA ACEVEDO","Juvenil","Risaralda","CLUB LOS GUEPARDOS","GasGas","49.963","15","12","9","46.223","15.622",""
"6","122","Santiago Alejandro SANTANDER MONTENEGRO","Juvenil","Putumayo","CLUB EXTREME RACING","Husqvarna","55.344","12","5","8","3 Vueltas","3 Vueltas",""
"7","777","Dominique Samuel Díaz Maca","Juvenil","Putumayo","CLUB EXTREME RACING","KTM","1:05.574","10","1","7","5 Vueltas","2 Vueltas",""
"NT","57","Raphael ANGULO TEJADA","Juvenil","Nariño","MOTOCLUB IPIALES","KTM","","","0","0","NT","",""
"NT","146","Gabriel Alejandro Mesa Arrollo","Juvenil","Nariño","","Yamaha","","","0","0","NT","",""
"NT","224","Kimberly Juliana GUERRERO GARCIA","Juvenil","Nariño","MOTOCLUB IPIALES","KTM","","","0","0","NT","",""
