"Pos.","N°","Nombre","Clase","Mejor Tm","En Vuelta","Dif. resp. 1°","Dif. resp. anterior","Puntos","Total T°","Comentario"
"1","139","Valentino ZULETA CARDONA","Infantil","1:29.529","1","","","15","12:40.993",""
"2","888","Maximiliano YEPES ZAMORANO","Infantil","1:34.278","1","41.680","41.680","13","13:22.673",""
"3","121","Martin LONDOÑO VARGAS","Infantil","1:31.072","1","57.328","15.648","11","13:38.321",""
"4","718","Emiliano IDROBO SERNA","Infantil","1:33.254","4","1:08.258","10.930","10","13:49.251",""
"5","35","Juan Angel MORALES GALLEGO","Infantil","1:32.502","1","1:10.494","2.236","9","13:51.487",""
"6","215","Sebastian LOPEZ CORTES","Infantil","1:33.933","6","3:57.696","2:47.202","8","16:38.689",""
"7","717","Mariana ARISMEDI TRUJILLO","Infantil","1:38.404","3","1 Vuelta","1 Vuelta","7","12:51.217",""
"8","801","Samuel MAYA SANCHEZ","Infantil","1:33.688","4","1 Vuelta","0.498","6","12:51.715",""
"9","105","Jhonathan Felipe ARENAS PORRAS","Infantil","1:35.436","4","1 Vuelta","6.663","5","12:58.378",""
"10","629","Jaivert Israel GUZMAN MENDEZ","Infantil","1:40.103","5","1 Vuelta","6.674","4","13:05.052",""
"11","O-330","","Infantil","1:48.077","5","2 Vueltas","1 Vuelta","3","12:56.335",""
"12","212","Salome MENDEZ SAMBONI","Infantil","1:50.347","5","2 Vueltas","1:05.937","2","14:02.272",""
"13","O-566","","Infantil","2:11.284","2","2 Vueltas","11.294","1","14:13.566",""
"14","28","Sofia ESCOBAR HINCAPIE","Infantil","2:13.640","2","3 Vueltas","1 Vuelta","1","13:02.798",""
"","272","Maximiliano TEJADA GONZALEZ","Infantil","1:55.125","3","4 Vueltas","1 Vuelta","0","13:10.954",""
"NT","729","Martin RODRIGUEZ ARANGO","Infantil","1:42.517","2","NT","","0","9:32.986",""
"NT","O-28","Critopher Antonio Lainez","Infantil","","0","NT","","0","",""
"NT","O-110","","Infantil","","0","NT","","0","",""
"NT","49","Ivvana Rugeles Avendaño","Infantil","","0","NT","","0","",""
"NT","106","MICHAEL GIOVANNY ARENAS PORRAS","Infantil","","0","NT","","0","",""
