"Pos.","N°","Nombre","Clase","Puntos","LIGA","CLUB","Dif. resp. 1°","MOTO","Vueltas","Mejor Tm"
"1","707-E","Cristian Felipe Aguirre Vélez","INICIO","15","Antioquia","CLUB MOTOCROSS YARUMAL","","Yamaha","9","1:50.422"
"2","75-E","Juan Pablo Cardona Carvajal","INICIO","13","Antioquia","CLUB MOTOCROSS YARUMAL","1:05.065","Honda","9","1:52.273"
"3","227","Leonel giraldo jaramillo","Inicio","11","Tolima","GR 522 RACING","1:41.963","Yamaha","9","1:55.125"
"4","519","Cristian David SEPULVEDA VALENCIA","Inicio","10","Caldas","CLUB VILLAMARIA RACING CLUB","1 Vuelta","Yamaha","8","1:52.927"
"5","73","Jerónimo OCAMPO CAMPUZANO","Inicio","9","Caldas","CLUB DE MOTOCICLISMO JP36","1 Vuelta","Yamaha","8","2:07.247"
"6","287","JOSE ANDRES SILVA SIMANCA","Inicio","8","Antioquia","CLUB MOTOCROSS DE YARUMAL","1 Vuelta","Yamaha","8","2:06.241"
"7","72","Andres Felipe Ortiz Jaramillo","Inicio","7","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","1 Vuelta","Yamaha","8","2:06.640"
"8","118","esteban ospina cifuentes","Inicio","6","Caldas","CLUB DE MOTOCICLISMO JP36","2 Vueltas","Honda","7","2:19.266"
"9","97","Juan Camilo Restrepo Ospina","Inicio","5","Antioquia","CLUB MOTOCROSS DE YARUMAL","2 Vueltas","Yamaha","7","2:14.483"
"10","821-E","John Fredy Hernández Osorio","INICIO","4","Caldas","CLUB VILLAMARIA RACING CLUB","2 Vueltas","Yamaha","7","2:10.198"
"NT","92-E","Jhon wilmar Quirama Arredondo","INICIO","0","Antioquia","CLUB GRILLOS RACING","NT","Kawasaki","2","2:27.318"
"NT","128","Santiago RAMIREZ GIL","Inicio","0","Nariño","CLUB DEPORTIVO LOS CAFETEROS","NT","Yamaha","",""
"NT","177","ROBINSON CAMILO RAMIREZ GIL","Inicio","0","Nariño","CLUB MOTEROS LA UNION RIDERS","NT","Honda","",""
