"Pos.","N°","Nombre","Clase","Puntos","LIGA","CLUB","Dif. resp. 1°","MOTO","Vueltas","Mejor Tm"
"1","111","Martin OSPINA CUELLO","85 CC MINI","15","Bogotá D.C.","Xspeed Racing","","Yamaha","12","1:26.821"
"2","139","Valentino ZULETA CARDONA","85 CC MINI","13","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","24.601","KTM","12","1:28.573"
"3","626","Juan Antonio PIEDRAHITA VARELA","85 CC MINI","11","Risaralda","CLUB LOS GUEPARDOS","49.672","GasGas","12","1:29.687"
"4","413","Samuel Emilio CAMACHO PAEZ","85 CC MINI","10","Bogotá D.C.","Xspeed Racing","1:10.472","GasGas","12","1:32.308"
"5","35","Juan Angel MORALES GALLEGO","85 CC MINI","9","Antioquia","CLUB GRILLOS RACING","1:20.912","Yamaha","12","1:32.371"
"6","888","Maximiliano YEPES ZAMORANO","85 CC MINI","8","Antioquia","CLUB GRILLOS RACING","1:24.148","Yamaha","12","1:33.178"
"7","420","Esteban ARCILA ACEVEDO","85 CC MINI","7","Risaralda","CLUB LOS GUEPARDOS","1 Vuelta","KTM","11","1:35.637"
"8","516","Agustin jaramillo","85 CC MINI","6","Caldas","CLUB VILLAMARIA RACING CLUB","3 Vueltas","Yamaha","9","1:57.699"
"9","28","Sofia ESCOBAR HINCAPIE","85 CC MINI","5","Caldas","CLUB VILLAMARIA RACING CLUB","3 Vueltas","Yamaha","9","1:54.740"
"10","120","Matias GOMEZ ORJUELA","85 CC MINI","4","Bogotá D.C.","Todo terreno track","3 Vueltas","KTM","9","1:36.328"
"11","31","Agustin Toro Montoya","85 CC MINI","3","Caldas","CLUB VILLAMARIA RACING CLUB","3 Vueltas","KTM","9","1:46.132"
